iter	Logloss
0	0.692917459
1	0.6927275246
2	0.6925272533
3	0.6922984142
4	0.6920648311
5	0.6918423968
6	0.691609081
7	0.691418726
8	0.6912200453
9	0.6910195901
10	0.6908037822
11	0.6905712212
12	0.6903873321
13	0.690178521
14	0.6899734565
15	0.6897765634
16	0.6895605653
17	0.6893534207
18	0.6891351116
19	0.6889147838
20	0.688711942
21	0.6885190972
22	0.6883257168
23	0.6881000464
24	0.6879085352
25	0.6876714293
26	0.6874797596
27	0.687286949
28	0.6870934411
29	0.6868968248
30	0.6866825489
31	0.6864656161
32	0.686230378
33	0.6860414377
34	0.6858352707
35	0.6856497041
36	0.6854282135
37	0.6852408744
38	0.6850463615
39	0.6848599525
40	0.6846581562
41	0.6844675347
42	0.6842610127
43	0.6840584952
44	0.6838741828
45	0.6836865189
46	0.6834973117
47	0.6832960296
48	0.6830897947
49	0.6829073323
50	0.6827054774
51	0.6825244137
52	0.6823240886
53	0.6821410427
54	0.681960421
55	0.6817783463
56	0.681598638
57	0.6814196413
58	0.6812412615
59	0.6810179699
60	0.6808112054
61	0.6806129954
62	0.6804174648
63	0.68023912
64	0.6800250661
65	0.6798128323
66	0.6796366076
67	0.6794566829
68	0.6792813765
69	0.6791071654
70	0.6789040286
71	0.6787304115
72	0.6785663366
73	0.6783764378
74	0.6782045098
75	0.6779959083
76	0.6778022463
77	0.6776034002
78	0.677395616
79	0.6772082248
80	0.6770364116
81	0.6768721539
82	0.6766973012
83	0.6764909976
84	0.67632258
85	0.6761621864
86	0.6759654515
87	0.6757978322
88	0.6756297765
89	0.6754267457
90	0.6752316294
91	0.6750643799
92	0.6748774409
93	0.6747114866
94	0.6745350203
95	0.6743417913
96	0.6741337819
97	0.673968261
98	0.6738018353
99	0.6736077199
100	0.6734433737
101	0.6732610767
102	0.6731054607
103	0.6729214619
104	0.6727455607
105	0.6725846218
106	0.6723803051
107	0.6722291479
108	0.6720666056
109	0.6719060053
110	0.6717379469
111	0.6715397648
112	0.6713807436
113	0.6712157124
114	0.6710393615
115	0.6708815748
116	0.6707153059
117	0.6705407845
118	0.6703842401
119	0.6702282681
120	0.6700471129
121	0.6698807322
122	0.6697247877
123	0.6695690268
124	0.6693710909
125	0.6691944862
126	0.6690375185
127	0.6688808426
128	0.6687212254
129	0.6685675158
130	0.6684141317
131	0.6682404429
132	0.668068063
133	0.6679140045
134	0.6677281632
135	0.6675421622
136	0.6673421557
137	0.667173691
138	0.6670069272
139	0.6668568423
140	0.666701942
141	0.6665100906
142	0.6663593236
143	0.6661815796
144	0.6659991445
145	0.6658295291
146	0.6656545445
147	0.6655067891
148	0.6653549797
149	0.6652082865
150	0.6650608725
151	0.6648731714
152	0.6647080973
153	0.6645612583
154	0.6644139772
155	0.6642277101
156	0.664053742
157	0.6638741906
158	0.6637050304
159	0.6635608866
160	0.6634163507
161	0.6632716123
162	0.663107639
163	0.6629643764
164	0.6628042771
165	0.6626482533
166	0.6624886963
167	0.6623306741
168	0.6621453656
169	0.6619993883
170	0.6618459774
171	0.6617021312
172	0.661552552
173	0.6613976958
174	0.6612560693
175	0.6611274541
176	0.6609715347
177	0.660827752
178	0.6606651081
179	0.6604857721
180	0.6603261018
181	0.6601673199
182	0.6600302226
183	0.6598937081
184	0.6597547953
185	0.6596183754
186	0.6594629255
187	0.6593169381
188	0.6591759836
189	0.6590409939
190	0.6588817429
191	0.6587286016
192	0.6585932015
193	0.6584465577
194	0.6582867139
195	0.6581515677
196	0.657996024
197	0.6578179238
198	0.6576841293
199	0.6575509916
200	0.6573937609
201	0.657222171
202	0.6570577843
203	0.6569270173
204	0.6567929026
205	0.6566423867
206	0.6564967162
207	0.6563671206
208	0.6562202162
209	0.656089396
210	0.6559516878
211	0.6558090242
212	0.6556575542
213	0.6555298816
214	0.6553853919
215	0.655261717
216	0.6551302752
217	0.6549834204
218	0.6548438412
219	0.6547137557
220	0.6545485972
221	0.6544131516
222	0.6542877621
223	0.6541394
224	0.654002539
225	0.6538386787
226	0.6536783923
227	0.6535534411
228	0.6534291698
229	0.6532872283
230	0.6531601417
231	0.6530367055
232	0.6529113638
233	0.6527728415
234	0.6526209723
235	0.6524960091
236	0.6523685416
237	0.6522551724
238	0.6521347052
239	0.6519968059
240	0.6518670504
241	0.6517076347
242	0.6515863417
243	0.6514456222
244	0.6513218197
245	0.6511641682
246	0.6510536746
247	0.6509225551
248	0.6507618783
249	0.6506204722
250	0.6505014036
251	0.6503741853
252	0.6502436689
253	0.6501067203
254	0.6499718339
255	0.6498557577
256	0.6497382323
257	0.6496177605
258	0.6495003869
259	0.6493844813
260	0.6492676786
261	0.6491224567
262	0.6490034534
263	0.6488509015
264	0.6487346408
265	0.6486205883
266	0.6484989937
267	0.6483479803
268	0.6482116415
269	0.6480678843
270	0.6479434702
271	0.6478119772
272	0.6476975441
273	0.6475653953
274	0.6474485009
275	0.6473218633
276	0.647209749
277	0.6471066192
278	0.6469942788
279	0.6468741513
280	0.6467598864
281	0.6466283624
282	0.6464949815
283	0.6463834996
284	0.6462412185
285	0.6461164534
286	0.6460067479
287	0.645863961
288	0.64572608
289	0.6456166204
290	0.6454898968
291	0.6453556048
292	0.6452484091
293	0.6451289643
294	0.6450188249
295	0.6449118843
296	0.644799562
297	0.6446840198
298	0.6445749311
299	0.6444644733
300	0.6443573157
301	0.6442281122
302	0.6441232368
303	0.6440164078
304	0.6438836728
305	0.6437787703
306	0.6436539237
307	0.6435482827
308	0.6434400578
309	0.6433346736
310	0.6432112163
311	0.6430786549
312	0.6429630354
313	0.6428592116
314	0.6427400141
315	0.6426273474
316	0.6424924524
317	0.6423855826
318	0.642278088
319	0.6421609782
320	0.6420478263
321	0.641946792
322	0.6418455642
323	0.6417263911
324	0.6416233891
325	0.6415007587
326	0.6413614944
327	0.6412520115
328	0.6411526898
329	0.641021266
330	0.6409178326
331	0.640800996
332	0.6407009753
333	0.6405663685
334	0.6404521863
335	0.6403516318
336	0.6402539518
337	0.6401208101
338	0.6400017458
339	0.6398750939
340	0.6397424486
341	0.6396450679
342	0.6395239857
343	0.6393916404
344	0.6392883748
345	0.6391707328
346	0.639039425
347	0.6389406202
348	0.6388419998
349	0.6387034008
350	0.6386073201
351	0.6384961271
352	0.6384075143
353	0.6382938541
354	0.6381899841
355	0.638088257
356	0.6379737713
357	0.6378634607
358	0.6377693076
359	0.6376511158
360	0.6375643463
361	0.6374499861
362	0.6373452077
363	0.6372381388
364	0.6371452159
365	0.6370501337
366	0.6369276047
367	0.6368335745
368	0.6367264677
369	0.6366316438
370	0.6365312318
371	0.6364180134
372	0.6363253337
373	0.6362062882
374	0.6360997115
375	0.6359790655
376	0.6358736458
377	0.6357782667
378	0.635661899
379	0.6355598306
380	0.6354598208
381	0.6353440544
382	0.6352549514
383	0.6351511944
384	0.6350604525
385	0.6349561855
386	0.6348311132
387	0.6347069546
388	0.6346108706
389	0.6345149203
390	0.6344272856
391	0.6343351854
392	0.6342228043
393	0.6341358561
394	0.6340436316
395	0.6339497666
396	0.6338475858
397	0.6337314484
398	0.6336073369
399	0.6334831151
400	0.6333861961
401	0.6332876047
402	0.6331755696
403	0.633090367
404	0.6329701731
405	0.632850722
406	0.6327425666
407	0.6326366581
408	0.6325150582
409	0.6324053163
410	0.6323115416
411	0.632227953
412	0.6321428884
413	0.6320662913
414	0.6319682017
415	0.6318706915
416	0.6317878883
417	0.6316920502
418	0.6316076168
419	0.6315008247
420	0.6314110034
421	0.6313206689
422	0.6312386537
423	0.6311428298
424	0.6310613622
425	0.6309620398
426	0.6308800768
427	0.6307929896
428	0.6306936607
429	0.6306130242
430	0.6305176528
431	0.630427712
432	0.6303471733
433	0.6302419258
434	0.6301583323
435	0.6300576815
436	0.6299653009
437	0.6298718454
438	0.6297832577
439	0.6297029811
440	0.6295949487
441	0.6295163847
442	0.6294235308
443	0.6293358748
444	0.6292582236
445	0.6291783065
446	0.6290878973
447	0.6290103404
448	0.6289082913
449	0.628831215
450	0.6287282866
451	0.6286440511
452	0.6285479563
453	0.6284716832
454	0.6284019747
455	0.6283262073
456	0.6282380024
457	0.6281604878
458	0.6280600549
459	0.627971434
460	0.6278823075
461	0.6277926759
462	0.6276972462
463	0.6276018308
464	0.6275157462
465	0.6274317961
466	0.6273256066
467	0.6272468092
468	0.6271520237
469	0.6270713881
470	0.6269809627
471	0.6268710363
472	0.6267974646
473	0.6267069657
474	0.6266198261
475	0.6265441333
476	0.6264579407
477	0.6263764736
478	0.6262916714
479	0.6261955181
480	0.6261043209
481	0.6260322359
482	0.6259436244
483	0.625864956
484	0.6257794987
485	0.6256773066
486	0.6255929286
487	0.6254912784
488	0.6254199341
489	0.6253339861
490	0.62526238
491	0.625190584
492	0.6251087597
493	0.6250373266
494	0.6249581624
495	0.6248712411
496	0.6247868936
497	0.6247103563
498	0.6246212662
499	0.6245192957
500	0.624449075
501	0.6243808035
502	0.6242902284
503	0.6242054824
504	0.624136863
505	0.6240669223
506	0.6239715512
507	0.6238903431
508	0.6237965771
509	0.6237327665
510	0.6236486023
511	0.6235678878
512	0.6234709573
513	0.6234031838
514	0.6233127631
515	0.6232156743
516	0.6231341925
517	0.6230562056
518	0.6229762764
519	0.6228853629
520	0.6228151736
521	0.6227467292
522	0.6226668287
523	0.6226014832
524	0.6225335094
525	0.6224387302
526	0.622373596
527	0.6222949565
528	0.6222280287
529	0.6221627472
530	0.6220893716
531	0.6220138587
532	0.6219364506
533	0.621842791
534	0.6217679234
535	0.6216931361
536	0.6216001024
537	0.6215325233
538	0.6214367547
539	0.6213657836
540	0.6213010266
541	0.6212269397
542	0.6211513745
543	0.6210723621
544	0.6210012484
545	0.6209112636
546	0.6208475822
547	0.6207675574
548	0.6206836339
549	0.6206256292
550	0.6205417449
551	0.6204704184
552	0.6204084244
553	0.6203348438
554	0.6202627576
555	0.6201713592
556	0.6200818543
557	0.6200065302
558	0.6199356325
559	0.6198632102
560	0.6197886714
561	0.6197167144
562	0.6196564927
563	0.6195707918
564	0.6194945119
565	0.6194123035
566	0.6193530767
567	0.6192718612
568	0.6192042134
569	0.6191309221
570	0.6190709601
571	0.6190116948
572	0.6189485192
573	0.6188881698
574	0.6188130284
575	0.6187389357
576	0.6186503143
577	0.6185917937
578	0.6185207154
579	0.6184617373
580	0.6183756699
581	0.6182949951
582	0.618222029
583	0.6181496841
584	0.6180879919
585	0.6180024688
586	0.617945427
587	0.6178673494
588	0.6177972397
589	0.6177128691
590	0.6176522932
591	0.6175670464
592	0.6174847416
593	0.6174072605
594	0.6173326051
595	0.6172737712
596	0.617217712
597	0.6171516921
598	0.6170770037
599	0.6170114684
600	0.6169554119
601	0.6168722665
602	0.6168049706
603	0.6167317768
604	0.6166565499
605	0.616579752
606	0.6165067307
607	0.6164519487
608	0.6163842581
609	0.6163192953
610	0.6162643419
611	0.6161947261
612	0.6161132081
613	0.6160585963
614	0.6160028117
615	0.6159423302
616	0.6158584116
617	0.6158011566
618	0.6157356255
619	0.6156554531
620	0.6155938199
621	0.6155295426
622	0.6154644986
623	0.6154115496
624	0.6153587428
625	0.6152924046
626	0.6152302776
627	0.6151780263
628	0.6151205856
629	0.6150416431
630	0.6149776451
631	0.6149023212
632	0.6148241027
633	0.6147718656
634	0.6147197148
635	0.6146621744
636	0.6146007266
637	0.6145322423
638	0.6144733197
639	0.6144211372
640	0.6143618471
641	0.6142864063
642	0.6142233224
643	0.6141523807
644	0.6141009735
645	0.6140475202
646	0.6139756575
647	0.613909115
648	0.6138366017
649	0.6137662927
650	0.61370625
651	0.6136386502
652	0.6135651453
653	0.613503542
654	0.6134539598
655	0.6133789371
656	0.6133076128
657	0.6132410376
658	0.6131730277
659	0.6131239902
660	0.6130736721
661	0.6130246964
662	0.6129614924
663	0.6128908551
664	0.6128355006
665	0.6127697168
666	0.6127211641
667	0.6126619939
668	0.6125940843
669	0.612525819
670	0.6124778407
671	0.6124131868
672	0.612365332
673	0.6123220946
674	0.6122529598
675	0.6122008653
676	0.6121506304
677	0.6120890655
678	0.6120159376
679	0.6119688671
680	0.6119051345
681	0.6118467599
682	0.6117991111
